,Ticker,Average Volume,Competitors,Symbol,Security,Headquarters,Industry,Date added
167,EIX,1931498,"['ES', 'WEC', 'FE']",EIX,Edison International,"Rosemead, California",Electric Utilities,1957-03-04
168,EW,4344092,"['STE', 'ISRG', 'SNN']",EW,Edwards Lifesciences,"Irvine, California",Health Care Equipment,2011-04-01
169,EA,2257480,"['CRWD', 'ANSS', 'VEEV']",EA,Electronic Arts,"Redwood City, California",Interactive Home Entertainment,2002-07-22
170,ELV,1132313,"['CI', 'HUM', 'CNC']",ELV,Elevance Health,"Indianapolis, Indiana",Managed Health Care,2002-07-25
171,LLY,3000949,"['ABBV', 'MRK', 'NVO', 'PFE']",LLY,Eli Lilly and Company,"Indianapolis, Indiana",Pharmaceuticals,1970-12-31
172,EMR,3582998,"['ROP', 'FTV', 'CGNX', 'ST']",EMR,Emerson Electric,"Ferguson, Missouri",Electrical Components & Equipment,1965-03-31
173,ENPH,3952022,"['ON', 'MPWR']",ENPH,Enphase,"Fremont, California",Electronic Components,2021-01-07
174,ETR,1412927,"['AEE', 'DTE', 'FE', 'PPL']",ETR,Entergy,"New Orleans, Louisiana",Electric Utilities,1957-03-04
175,EOG,3759200,"['CNQ', 'OXY', 'DVN', 'BP']",EOG,EOG Resources,"Houston, Texas",Oil & Gas Exploration & Production,2000-11-02
176,EPAM,400508,"['VRSN', 'NICE', 'TRU']",EPAM,EPAM Systems,"Newtown, Pennsylvania",IT Consulting & Other Services,2021-12-14
177,EQT,6627342,['APA'],EQT,EQT,"Pittsburgh, Pennsylvania",Oil & Gas Exploration & Production,2022-10-03
178,EFX,869249,['MCO'],EFX,Equifax,"Atlanta, Georgia",Research & Consulting Services,1997-06-19
179,EQIX,417464,"['CCI', 'PSA', 'O']",EQIX,Equinix,"Redwood City, California",Specialized REITs,2015-03-20
180,EQR,2302381,"['AVB', 'WY', 'EXR', 'ARE']",EQR,Equity Residential,"Chicago, Illinois",Residential REITs,2001-12-03
181,ESS,566943,"['GLPI', 'UDR', 'IRM', 'PEAK']",ESS,Essex Property Trust,"San Mateo, California",Residential REITs,2014-04-02
182,EL,1671159,"['CL', 'IFF', 'COTY']",EL,Estée Lauder Companies (The),"New York City, New York",Personal Products,2006-01-05
183,ETSY,3198193,"['FLT', 'EDNMY', 'BR', 'EDNMF']",ETSY,Etsy,"New York City, New York",Internet & Direct Marketing Retail,2020-09-21
184,RE,294145,"['AVVIY', 'AIVAF', 'CNA']",RE,Everest Re,"Hamilton, Bermuda",Reinsurance,2017-06-19
185,EVRG,1917674,"['EBR', 'AGR', 'AES']",EVRG,Evergy,"Kansas City, Missouri",Electric Utilities,2018-06-05
186,ES,1652645,"['EIX', 'WEC', 'FE']",ES,Eversource,"Hartford, Connecticut",Multi-Utilities,2009
187,EXC,7378430,"['PCG', 'XEL', 'ED', 'PEG']",EXC,Exelon,"Chicago, Illinois",Multi-Utilities,1957-03-04
188,EXPE,2615012,"['TCOM', 'TUIFD', 'TRIP']",EXPE,Expedia Group,"Seattle, Washington",Internet & Direct Marketing Retail,2007-10-02
189,EXPD,1590848,"['ZTO', 'CHRW']",EXPD,Expeditors International,"Seattle, Washington",Air Freight & Logistics,2007-10-10
190,EXR,1065210,"['WY', 'EQR', 'AVB', 'VTR']",EXR,Extra Space Storage,"Salt Lake City, Utah",Specialized REITs,2016-01-19
191,XOM,16917654,"['RYDAF', 'TTE', 'EQNR']",XOM,ExxonMobil,"Irving, Texas",Integrated Oil & Gas,1957-03-04
192,FFIV,502828,['MANH'],FFIV,"F5, Inc.","Seattle, Washington",Communications Equipment,2010-12-20
193,FDS,228146,[],FDS,FactSet,"Norwalk, Connecticut",Financial Exchanges & Data,2021-12-20
194,FAST,3276396,"['DSGR', 'ACU']",FAST,Fastenal,"Winona, Minnesota",Building Products,2008-09-15
195,FRT,537593,['FRTPRC'],FRT,Federal Realty,"Rockville, Maryland",Retail REITs,2016-02-01
196,FDX,2181876,[],FDX,FedEx,"Memphis, Tennessee",Air Freight & Logistics,1980-12-31
197,FITB,6605702,"['MTB', 'FRC', 'DFS', 'NTRS']",FITB,Fifth Third Bank,"Cincinnati, Ohio",Regional Banks,1996-03-29
198,FRC,8353394,"['FITB', 'NTRS', 'MTB', 'SIVB']",FRC,First Republic Bank,"San Francisco, California",Regional Banks,2019-01-02
199,FSLR,2729778,"['SWKS', 'UMC']",FSLR,First Solar,"Tempe, Arizona",Semiconductors,2022-12-19
200,FE,3518638,"['DTE', 'ETR', 'AEE', 'PPL']",FE,FirstEnergy,"Akron, Ohio",Electric Utilities,1997-11-28
201,FIS,6987601,"['VRSK', 'FDS']",FIS,FIS,"Jacksonville, Florida",Data Processing & Outsourced Services,2006-11-10
202,FISV,3470215,"['PYPL', 'ADP', 'FIS', 'VRSK']",FISV,Fiserv,"Brookfield, Wisconsin",Data Processing & Outsourced Services,2001-04-02
203,FLT,545487,"['ETSY', 'BR', 'EDNMY', 'EDNMF']",FLT,Fleetcor,"Atlanta, Georgia",Data Processing & Outsourced Services,2018-06-20
204,FMC,752572,"['BIOX', 'AVD', 'ODC']",FMC,FMC Corporation,"Philadelphia, Pennsylvania",Fertilizers & Agricultural Chemicals,2009-08-19
205,F,59754086,"['RACE', 'HMC', 'GM', 'STLA']",F,Ford Motor Company,"Dearborn, Michigan",Automobile Manufacturers,1957-03-04
206,FTNT,5208991,"['VMW', 'SQ', 'WDAY', 'ADSK']",FTNT,Fortinet,"Sunnyvale, California",Systems Software,2018-10-11
207,FTV,1783329,"['CGNX', 'ST', 'MKSI', 'ESE']",FTV,Fortive,"Everett, Washington",Industrial Machinery,2016-07-01
208,FOXA,2668465,"['FOX', 'PARA', 'NXST', 'FWONK']",FOXA,Fox Corporation (Class A),"New York City, New York",Movies & Entertainment,2013-07-01
209,FOX,1230408,"['NXST', 'FOXA', 'TGNA']",FOX,Fox Corporation (Class B),"New York City, New York",Movies & Entertainment,2015-09-18
210,BEN,3638676,"['CG', 'NMR']",BEN,Franklin Templeton,"San Mateo, California",Asset Management & Custody Banks,1998-04-30
211,FCX,12938612,[],FCX,Freeport-McMoRan,"Phoenix, Arizona",Copper,
212,GRMN,950544,['TDY'],GRMN,Garmin,"Schaffhausen, Switzerland",Consumer Electronics,2012-12-12
213,IT,429669,"['BAH', 'FCN', 'TNET']",IT,Gartner,"Stamford, Connecticut",IT Consulting & Other Services,2017-04-05
214,GEHC,90433,[],GEHC,GE HealthCare,"Chicago, Illinois",Health Care Technology,2023-01-04
215,GEN,4206935,"['TWLO', 'DOCU', 'DT']",GEN,Gen Digital,"Tempe, Arizona",Application Software,2003-03-25
216,GNRC,1655348,"['RRX', 'FELE', 'OPTT', 'SLNH']",GNRC,Generac,"Waukesha, Wisconsin",Electrical Components & Equipment,2021-03-22
217,GD,1086037,"['NOC', 'TXT', 'BA']",GD,General Dynamics,"Falls Church, Virginia",Aerospace & Defense,1957-03-04
218,GE,7168033,"['HON', 'HEIA', 'HEI', 'AIR']",GE,General Electric,"Boston, Massachusetts",Industrial Conglomerates,1957-03-04
219,GIS,3619768,"['MKC', 'CAG', 'CPB', 'MDLZ']",GIS,General Mills,"Golden Valley, Minnesota",Packaged Foods & Meats,1957-03-04
220,GM,14605495,"['STLA', 'F', 'RACE', 'HMC']",GM,General Motors,"Detroit, Michigan",Automobile Manufacturers,2013-06-06
221,GPC,991436,"['DORM', 'MPAA']",GPC,Genuine Parts Company,"Atlanta, Georgia",Specialty Stores,1973-12-31
222,GILD,6942515,"['AMGN', 'MRNA', 'BIIB']",GILD,Gilead Sciences,"Foster City, California",Biotechnology,2004-07-01
223,GL,563981,['PRS'],GL,Globe Life,"McKinney, Texas",Life & Health Insurance,1989-04-30
224,GPN,2021894,"['BR', 'FLT']",GPN,Global Payments,"Atlanta, Georgia",Data Processing & Outsourced Services,2016-04-25
225,GS,2739897,"['SCHW', 'MS', 'IBKR', 'RJF']",GS,Goldman Sachs,"New York City, New York",Investment Banking & Brokerage,2002-07-22
226,HAL,9072934,"['BKR', 'WFRD', 'LBRT', 'XPRO']",HAL,Halliburton,"Houston, Texas",Oil & Gas Equipment & Services,1957-03-04
227,HIG,1788500,"['ACGL', 'ALL', 'RE', 'AVVIY']",HIG,Hartford (The),"Hartford, Connecticut",Property & Casualty Insurance,1957-03-04
228,HAS,1921678,"['FNKO', 'JAKK']",HAS,Hasbro,"Pawtucket, Rhode Island",Leisure Products,1984-09-30
229,HCA,1245216,"['UHS', 'THC', 'EHC', 'SGRY']",HCA,HCA Healthcare,"Nashville, Tennessee",Health Care Facilities,2015-01-27
230,PEAK,4076308,"['ELS', 'KIM', 'CPT', 'UDR']",PEAK,Healthpeak,"Long Beach, California",Health Care REITs,2008-03-31
231,HSIC,968472,"['PDCO', 'OMI']",HSIC,Henry Schein,"Melville, New York",Health Care Distributors,2015-03-17
232,HSY,1018435,"['BYCBF', 'BRRLY']",HSY,Hershey's,"Hershey, Pennsylvania",Packaged Foods & Meats,1957-03-04
233,HES,1761036,"['FLNG', 'NEXT']",HES,Hess Corporation,"New York City, New York",Integrated Oil & Gas,1984-05-31
234,HPE,13683127,"['ZBRA', 'HPQ', 'DELL']",HPE,Hewlett Packard Enterprise,"Houston, Texas","Technology Hardware, Storage & Peripherals",2015-11-02
235,HLT,1671448,"['LVS', 'MAR', 'MGM', 'HTHT']",HLT,Hilton Worldwide,"Tysons Corner, Virginia","Hotels, Resorts & Cruise Lines",2017-06-19
236,HOLX,1553406,['VREX'],HOLX,Hologic,"Marlborough, Massachusetts",Health Care Equipment,2016-03-30
237,HD,4051308,"['LOW', 'BLDR', 'FND']",HD,Home Depot (The),"Atlanta, Georgia",Home Improvement Retail,1988-03-31
238,HON,3056146,"['GE', 'HEIA', 'HEI', 'AIR']",HON,Honeywell,"Charlotte, North Carolina",Industrial Conglomerates,1957-03-04
239,HRL,1786464,"['TSN', 'BYND']",HRL,Hormel Foods,"Austin, Minnesota",Packaged Foods & Meats,2009-03-04
240,HST,7031090,['CPT'],HST,Host Hotels & Resorts,"Bethesda, Maryland",Hotel & Resort REITs,2007-03-20
241,HWM,2812777,['HWMPR'],HWM,Howmet Aerospace,"Pittsburgh, Pennsylvania",Aerospace & Defense,1957-03-04
242,HPQ,6977610,"['DELL', 'HPE', 'ZBRA']",HPQ,HP Inc.,"Palo Alto, California","Technology Hardware, Storage & Peripherals",1974-12-31
243,HUM,1031051,"['CNC', 'CI', 'MOH']",HUM,Humana,"Louisville, Kentucky",Managed Health Care,
244,HBAN,16953615,"['RF', 'ITUB', 'BSBR']",HBAN,Huntington Bancshares,"Columbus, Ohio; Detroit, Michigan",Regional Banks,1997-08-28
245,HII,412352,[],HII,Huntington Ingalls Industries,"Newport News, Virginia",Aerospace & Defense,2018-01-03
246,IBM,4530667,"['CSCO', 'CDW', 'WIT']",IBM,IBM,"Armonk, New York",IT Consulting & Other Services,1957-03-04
247,IEX,383577,"['XYL', 'GGG', 'ITT']",IEX,IDEX Corporation,"Lake Forest, Illinois",Industrial Machinery,2019-08-09
248,IDXX,483538,"['GMAB', 'QDEL', 'LNTH']",IDXX,Idexx Laboratories,"Westbrook, Maine",Health Care Equipment,2017-01-05
249,ITW,1026311,['ELSE'],ITW,Illinois Tool Works,"Glenview, Illinois",Industrial Machinery,1986-02-28
250,ILMN,1299843,"['BIIB', 'BMRN', 'TECH']",ILMN,Illumina,"San Diego, California",Life Sciences Tools & Services,2015-11-19
251,INCY,1501875,"['ESAIY', 'VTRS', 'CTLT']",INCY,Incyte,"Wilmington, Delaware",Biotechnology,2017-02-28
252,IR,2469811,"['EFXT', 'TTI', 'NGS']",IR,Ingersoll Rand,"Davidson, North Carolina",Industrial Machinery,2020-03-03
253,PODD,683350,"['BAX', 'SAUHF', 'WST']",PODD,Insulet,"Acton, Massachusetts",Health Care Equipment,2023-03-15
254,INTC,41406263,"['AMAT', 'ADI', 'AMD', 'LRCX']",INTC,Intel,"Santa Clara, California",Semiconductors,1976-12-31
255,ICE,2474150,"['CME', 'NDAQ', 'CBOE', 'MKTX']",ICE,Intercontinental Exchange,"Atlanta, Georgia",Financial Exchanges & Data,2007-09-26
256,IFF,1980742,"['COTY', 'ELF']",IFF,International Flavors & Fragrances,"New York City, New York",Specialty Chemicals,1976-03-31
257,IP,3157651,[],IP,International Paper,"Memphis, Tennessee",Paper Packaging,1957-03-04
258,IPG,3203131,"['WPP', 'OMC', 'CRTO']",IPG,Interpublic Group of Companies (The),"New York City, New York",Advertising,1992-10-01
259,INTU,1670616,"['SAP', 'NOW', 'ADBE', 'UBER']",INTU,Intuit,"Mountain View, California",Application Software,2000-12-05
260,ISRG,1804370,"['SYK', 'EW', 'STE', 'SNN']",ISRG,Intuitive Surgical,"Sunnyvale, California",Health Care Equipment,2008-06-02
261,IVZ,4954784,"['SEIC', 'MORN']",IVZ,Invesco,"Atlanta, Georgia",Asset Management & Custody Banks,2008-08-21
262,INVH,3466738,"['MAA', 'VTR', 'SUI']",INVH,Invitation Homes,"Dallas, Texas",Residential REITs,2022-09-19
263,IQV,909774,"['ICLR', 'CRL', 'MEDP']",IQV,IQVIA,"Durham, North Carolina",Life Sciences Tools & Services,2017-08-29
264,IRM,1429865,"['ESS', 'GLPI', 'UDR', 'WPC']",IRM,Iron Mountain,"Boston, Massachusetts",Specialized REITs,2009-01-06
265,JBHT,716073,"['KNX', 'SAIA', 'LSTR', 'SNDR']",JBHT,J.B. Hunt,"Lowell, Arkansas",Trucking,2015-07-01
266,JKHY,562740,"['GDDY', 'LDOS', 'JNPR', 'OTEX']",JKHY,Jack Henry & Associates,"Monett, Missouri",Data Processing & Outsourced Services,2018-11-13
267,J,608129,"['ACM', 'KBR', 'TTEK']",J,Jacobs Solutions,"Dallas, Texas",Construction & Engineering,2007-10-26
268,JNJ,7426918,"['LLY', 'ABBV', 'MRK', 'NVO']",JNJ,Johnson & Johnson,"New Brunswick, New Jersey",Pharmaceuticals,1973-06-30
269,JCI,3600052,"['CVGI', 'VIRC']",JCI,Johnson Controls,"Cork, Ireland",Building Products,2010-08-27
270,JPM,11327434,"['BAC', 'WFC', 'HSBC']",JPM,JPMorgan Chase,"New York City, New York",Diversified Banks,1975-06-30
271,JNPR,3494472,"['OTEX', 'GDDY', 'JKHY', 'LDOS']",JNPR,Juniper Networks,"Sunnyvale, California",Communications Equipment,2006-06-02
272,K,2122369,['POST'],K,Kellogg's,"Battle Creek, Michigan",Packaged Foods & Meats,1989-09-11
273,KDP,7211419,"['MNST', 'CCEP', 'FMX']",KDP,Keurig Dr Pepper,"Burlington, Massachusetts",Soft Drinks,2022-06-21
274,KEY,14740728,"['SHG', 'CS']",KEY,KeyCorp,"Cleveland, Ohio",Regional Banks,1994-03-01
275,KEYS,1090497,"['TER', 'ITRI', 'COHU', 'AEHR']",KEYS,Keysight,"Santa Rosa, California",Electronic Equipment & Instruments,2018-11-06
276,KMB,1576450,[],KMB,Kimberly-Clark,"Irving, Texas",Household Products,1957-03-04
277,KIM,4339329,"['ELS', 'PEAK', 'CPT', 'HST']",KIM,Kimco Realty,"New Hyde Park, New York",Retail REITs,2006-04-04
278,KMI,13639082,"['ET', 'WMB', 'OKE', 'EPD']",KMI,Kinder Morgan,"Houston, Texas",Oil & Gas Storage & Transportation,2012-05-25
279,KLAC,1279873,"['SENS', 'POCI']",KLAC,KLA Corporation,"Milpitas, California",Semiconductor Equipment,1997-09-30
280,KHC,6553018,"['NOMD', 'CUSI']",KHC,Kraft Heinz,"Chicago, Illinois; Pittsburgh, Pennsylvania",Packaged Foods & Meats,2015-07-06
281,KR,5247704,['TSCDF'],KR,Kroger,"Cincinnati, Ohio",Food Retail,1957-03-04
282,LHX,1281941,"['TDY', 'GRMN']",LHX,L3Harris,"Melbourne, Florida",Aerospace & Defense,2008-09-22
283,LH,682103,"['DGX', 'NTRA', 'GH']",LH,LabCorp,"Burlington, North Carolina",Health Care Services,2004-11-01
284,LRCX,1382491,"['MU', 'NXPI', 'MCHP']",LRCX,Lam Research,"Fremont, California",Semiconductor Equipment,2012-06-29
285,LW,1472744,['BGS'],LW,Lamb Weston,"Eagle, Idaho",Packaged Foods & Meats,2018-12-03
286,LVS,5295093,"['HLT', 'MAR', 'MGM', 'HTHT']",LVS,Las Vegas Sands,"Las Vegas, Nevada",Casinos & Gaming,2019-10-03
287,LDOS,874373,"['JKHY', 'GDDY', 'JNPR', 'OTEX']",LDOS,Leidos,"Reston, Virginia",Diversified Support Services,2019-08-09
288,LEN,2231123,"['DHI', 'PHM', 'TOL', 'MTH']",LEN,Lennar,"Miami, Florida",Homebuilding,2005-10-04
289,LNC,3359535,"['AXS', 'FAF']",LNC,Lincoln Financial,"Radnor, Pennsylvania",Multi-line Insurance,1976-06-30
290,LIN,2267647,"['APD', 'AFPW']",LIN,Linde plc,"Guildford, United Kingdom",Industrial Gases,1992-07-01
291,LYV,2411688,[],LYV,Live Nation Entertainment,"Beverly Hills, California",Movies & Entertainment,2019-12-23
292,LKQ,1547161,[],LKQ,LKQ Corporation,"Chicago, Illinois",Distributors,2016-05-23
293,LMT,1379282,"['BA', 'NOC', 'GD', 'TXT']",LMT,Lockheed Martin,"Bethesda, Maryland",Aerospace & Defense,1957-03-04
294,L,826962,"['AFG', 'WRB', 'MKL', 'CINF']",L,Loews Corporation,"New York City, New York",Multi-line Insurance,1995-05-31
295,LOW,3184926,"['BLDR', 'FND', 'HD']",LOW,Lowe's,"Mooresville, North Carolina",Home Improvement Retail,1984-02-29
296,LUMN,29221181,['TEO'],LUMN,Lumen Technologies,"Monroe, Louisiana",Alternative Carriers,1999-03-25
297,LYB,1933476,"['AVTR', 'WLK']",LYB,LyondellBasell,"Rotterdam, Netherlands",Specialty Chemicals,2012-09-05
298,MTB,1537525,"['FITB', 'DFS', 'FRC', 'STT']",MTB,M&T Bank,"Buffalo, New York",Regional Banks,2004-02-23
299,MRO,10686860,['CTRA'],MRO,Marathon Oil,"Houston, Texas",Oil & Gas Exploration & Production,1957-03-04
300,MPC,3851970,"['VLO', 'PSX', 'IMO', 'IEP']",MPC,Marathon Petroleum,"Findlay, Ohio",Oil & Gas Refining & Marketing,2011-07-01
301,MKTX,347149,['CBOE'],MKTX,MarketAxess,"New York City, New York",Financial Exchanges & Data,2019-07-01
302,MAR,1879621,"['LVS', 'HLT', 'MGM', 'HTHT']",MAR,Marriott International,"Bethesda, Maryland","Hotels, Resorts & Cruise Lines",1998-05-29
303,MMC,1615888,"['AON', 'AJG', 'WTW']",MMC,Marsh McLennan,"New York City, New York",Insurance Brokers,1987-08-31
304,MLM,363986,[],MLM,Martin Marietta Materials,"Raleigh, North Carolina",Construction Materials,2014-07-02
305,MAS,1805821,[],MAS,Masco,"Livonia, Michigan",Building Products,1981-06-30
306,MA,2665004,"['CACC', 'OMF', 'NNI']",MA,Mastercard,"Harrison, New York",Data Processing & Outsourced Services,2008-07-18
307,MTCH,4324094,"['TME', 'BILI', 'FUTU']",MTCH,Match Group,"Dallas, Texas",Interactive Media & Services,2021-09-20
308,MKC,1269291,"['CAG', 'CPB', 'SMPL', 'MKCV']",MKC,McCormick & Company,"Hunt Valley, Maryland",Packaged Foods & Meats,2003-03-20
309,MCD,2828644,"['SBUX', 'CMG', 'YUM', 'YUMC']",MCD,McDonald's,"Chicago, Illinois",Restaurants,1970-06-30
310,MCK,1050162,"['ABC', 'CAH', 'CAKFY']",MCK,McKesson,"Irving, Texas",Health Care Distributors,1999-01-13
311,MDT,7135627,"['RMD', 'MASI', 'NVCR']",MDT,Medtronic,"Dublin, Ireland",Health Care Equipment,1986-10-31
312,MRK,8922659,"['ABBV', 'NVO', 'LLY', 'PFE']",MRK,Merck & Co.,"Kenilworth, New Jersey",Pharmaceuticals,1957-03-04
313,META,35447464,"['GOOG', 'GOOGL', 'TRI', 'NTES']",META,Meta Platforms,"Menlo Park, California",Interactive Media & Services,2013-12-23
314,MET,4272381,"['AIG', 'TRV', 'PUK', 'AFL']",MET,MetLife,"New York City, New York",Life & Health Insurance,2000-12-11
315,MTD,97703,"['A', 'WAT', 'PKI', 'BIO']",MTD,Mettler Toledo,"Columbus, Ohio",Life Sciences Tools & Services,2016-09-06
316,MGM,4397526,"['HTHT', 'H', 'WYNN', 'IHG']",MGM,MGM Resorts,"Paradise, Nevada",Casinos & Gaming,2017-07-26
317,MCHP,4816823,"['STM', 'NXPI', 'MRVL']",MCHP,Microchip Technology,"Chandler, Arizona",Semiconductors,2007-09-07
318,MU,14705546,"['LRCX', 'NXPI', 'MCHP']",MU,Micron Technology,"Boise, Idaho",Semiconductors,1994-09-27
319,MSFT,30574002,"['INFY', 'CTSH', 'VRSN']",MSFT,Microsoft,"Redmond, Washington",Systems Software,1994-06-01
320,MAA,688525,"['INVH', 'VTR', 'SUI']",MAA,Mid-America Apartment Communities,"Memphis, Tennessee",Residential REITs,2016-12-02
321,MRNA,4624878,"['BIIB', 'ILMN', 'BMRN']",MRNA,Moderna,"Cambridge, Massachusetts",Biotechnology,2021-07-21
322,MHK,576207,"['TILE', 'DXYN']",MHK,Mohawk Industries,"Calhoun, Georgia",Home Furnishings,2013-12-23
323,MOH,529567,['GNOW'],MOH,Molina Healthcare,"Long Beach, California",Managed Health Care,2022-03-02
324,TAP,1438066,['SAM'],TAP,Molson Coors Beverage Company,"Chicago, Illinois",Brewers,1976-06-30
325,MDLZ,5759866,"['GIS', 'MKC', 'CAG', 'CPB']",MDLZ,Mondelez International,"Chicago, Illinois",Packaged Foods & Meats,2012-10-02
326,MPWR,557283,"['UMC', 'FSLR']",MPWR,Monolithic Power Systems,"Kirkland, Washington",Semiconductors,2021-02-12
327,MNST,2084508,"['KDP', 'CCEP', 'FMX']",MNST,Monster Beverage,"Corona, California",Soft Drinks,2012-06-28
328,MCO,819371,['EFX'],MCO,Moody's Corporation,"New York City, New York",Financial Exchanges & Data,1998-07-01
329,MS,7272806,"['SCHW', 'GS', 'IBKR', 'RJF']",MS,Morgan Stanley,"New York City, New York",Investment Banking & Brokerage,1993-07-29
330,MOS,4164760,['ICL'],MOS,Mosaic Company (The),"Tampa, Florida",Fertilizers & Agricultural Chemicals,2011-09-26
331,MSI,685468,"['NOK', 'ERIC', 'UI']",MSI,Motorola Solutions,"Chicago, Illinois",Communications Equipment,1957-03-04
332,MSCI,428122,"['APO', 'AMP', 'KKR']",MSCI,MSCI,"New York City, New York",Financial Exchanges & Data,2018-04-04
333,NDAQ,2260159,"['CBOE', 'MKTX']",NDAQ,"Nasdaq, Inc.","New York City, New York",Financial Exchanges & Data,2008-10-22
334,NTAP,1774476,"['STX', 'WDC', 'PSTG', 'QMCO']",NTAP,NetApp,"San Jose, California","Technology Hardware, Storage & Peripherals",1999-06-25
